State,Republican,Democratic,Others,Year,Election,PercentD,Dem Win
AL,941173,692611,32488,2000,Pres,41.56650294789806,False
AK,167398,79004,39158,2000,Pres,27.666339823504693,False
AZ,781652,685341,65023,2000,Pres,44.73458501738885,False
AR,472940,422768,26073,2000,Pres,45.86425626043496,False
CA,4567429,5861203,537224,2000,Pres,53.44957110507379,True
CO,883748,738227,119393,2000,Pres,42.39350901130605,False
CT,561094,816015,82416,2000,Pres,55.909628132440346,True
DE,137288,180068,10266,2000,Pres,54.96212098088651,True
DC,18073,171923,11898,2000,Pres,85.15508137933767,True
FL,2912790,2912253,138067,2000,Pres,48.837821204036146,False
GA,1419720,1116230,60854,2000,Pres,42.98476126808185,False
HI,137845,205286,24820,2000,Pres,55.791667912303545,True
ID,336937,138637,26047,2000,Pres,27.637798258047408,False
IL,2019421,2589026,133676,2000,Pres,54.596348513102676,True
IN,1245836,901980,51486,2000,Pres,41.012102930838964,False
IA,634373,638517,42673,2000,Pres,48.53564595538184,True
KS,622332,399276,50610,2000,Pres,37.23832280375819,False
KY,872492,638898,32797,2000,Pres,41.37439312725726,False
LA,927871,792344,45441,2000,Pres,44.87533245433992,False
ME,286616,319951,45250,2000,Pres,49.08601647394898,True
MD,813797,1145782,65901,2000,Pres,56.56841835021822,True
MA,878502,1616487,207995,2000,Pres,59.803794621055836,True
MI,1953139,2170418,108944,2000,Pres,51.27979887069135,True
MN,1109659,1168266,160760,2000,Pres,47.9055720603522,True
MS,572844,404614,16726,2000,Pres,40.69810015047516,False
MO,1189924,1111138,58830,2000,Pres,47.08427334810237,False
MT,240178,137126,33693,2000,Pres,33.364233802193205,False
NE,433862,231780,31377,2000,Pres,33.25303901328371,False
NV,301575,279978,27417,2000,Pres,45.975663825804226,False
NH,273559,266348,29174,2000,Pres,46.80317916078731,False
NJ,1284173,1788850,114203,2000,Pres,56.12560891508792,True
NM,286417,286783,25405,2000,Pres,47.908554054844174,True
NY,2403374,4107697,310928,2000,Pres,60.2125124908403,True
NC,1631163,1257692,22407,2000,Pres,43.20092111256218,False
ND,174852,95284,18120,2000,Pres,33.05533969804618,False
OH,2351209,2186190,168058,2000,Pres,46.460736969862864,False
OK,744337,474276,15616,2000,Pres,38.426904569573395,False
OR,713577,720342,100049,2000,Pres,46.95938898334255,True
PA,2281127,2485967,146025,2000,Pres,50.59855053378516,True
RI,130555,249508,29049,2000,Pres,60.9877001896791,True
SC,785937,565561,31219,2000,Pres,40.90215134405666,False
SD,190700,118804,6765,2000,Pres,37.56422539041132,False
TN,1061949,981720,32512,2000,Pres,47.28489471775341,False
