State,Dem Wins,Group
AK,0.0,Red
AL,0.0,Red
AR,0.0,Red
AZ,0.0,Red
CA,5.0,Blue
CO,3.0,Swing
CT,5.0,Blue
DC,5.0,Blue
DE,5.0,Blue
FL,2.0,Swing
GA,0.0,Red
HI,5.0,Blue
IA,3.0,Swing
ID,0.0,Red
IL,5.0,Blue
IN,1.0,Swing
KS,0.0,Red
KY,0.0,Red
LA,0.0,Red
MA,5.0,Blue
MD,5.0,Blue
ME,5.0,Blue
MI,4.0,Swing
MN,5.0,Blue
MO,0.0,Red
MS,0.0,Red
MT,0.0,Red
NC,1.0,Swing
ND,0.0,Red
NE,0.0,Red
NH,4.0,Swing
NJ,5.0,Blue
NM,4.0,Swing
NV,3.0,Swing
NY,5.0,Blue
OH,2.0,Swing
OK,0.0,Red
OR,5.0,Blue
PA,4.0,Swing
RI,5.0,Blue
SC,0.0,Red
SD,0.0,Red
TN,0.0,Red
TX,0.0,Red
UT,0.0,Red
VA,3.0,Swing
VT,5.0,Blue
WA,5.0,Blue
WI,4.0,Swing
WV,0.0,Red
WY,0.0,Red
