STATE,Popular Vote - Bush (R),Popular Vote - Gore (D),Popular Vote - All Others
AL,"941,173","692,611","32,488"
AK,"167,398","79,004","39,158"
AZ,"781,652","685,341","65,023"
AR,"472,940","422,768","26,073"
CA,"4,567,429","5,861,203","537,224"
CO,"883,748","738,227","119,393"
CT,"561,094","816,015","82,416"
DE,"137,288","180,068","10,266"
DC,"18,073","171,923","11,898"
FL,"2,912,790","2,912,253","138,067"
GA,"1,419,720","1,116,230","60,854"
HI,"137,845","205,286","24,820"
ID,"336,937","138,637","26,047"
IL,"2,019,421","2,589,026","133,676"
IN,"1,245,836","901,980","51,486"
IA,"634,373","638,517","42,673"
KS,"622,332","399,276","50,610"
KY,"872,492","638,898","32,797"
LA,"927,871","792,344","45,441"
ME,"286,616","319,951","45,250"
MD,"813,797","1,145,782","65,901"
MA,"878,502","1,616,487","207,995"
MI,"1,953,139","2,170,418","108,944"
MN,"1,109,659","1,168,266","160,760"
MS,"572,844","404,614","16,726"
MO,"1,189,924","1,111,138","58,830"
MT,"240,178","137,126","33,693"
NE,"433,862","231,780","31,377"
NV,"301,575","279,978","27,417"
NH,"273,559","266,348","29,174"
NJ,"1,284,173","1,788,850","114,203"
NM,"286,417","286,783","25,405"
NY,"2,403,374","4,107,697","310,928"
NC,"1,631,163","1,257,692","22,407"
ND,"174,852","95,284","18,120"
OH,"2,351,209","2,186,190","168,058"
OK,"744,337","474,276","15,616"
OR,"713,577","720,342","100,049"
PA,"2,281,127","2,485,967","146,025"
RI,"130,555","249,508","29,049"
SC,"785,937","565,561","31,219"
SD,"190,700","118,804","6,765"
TN,"1,061,949","981,720","32,512"
TX,"3,799,639","2,433,746","174,252"
UT,"515,096","203,053","52,605"
VT,"119,775","149,022","25,511"
VA,"1,437,490","1,217,290","84,667"
WA,"1,108,864","1,247,652","130,917"
WV,"336,475","295,497","16,152"
WI,"1,237,279","1,242,987","118,341"
WY,"147,947","60,481","9,923"
Total:   ,"50,456,002","50,999,897","3,949,201"
