STATE,Popular Vote Bush (R),Popular Vote Kerry (D),Popular Vote All Others
AL,"1,176,394","693,933","13,122"
AK,"190,889","111,025","10,684"
AZ,"1,104,294","893,524","14,767"
AR,"572,898","469,953","12,094"
CA,"5,509,826","6,745,485","166,541"
CO,"1,101,255","1,001,732","27,343"
CT,"693,826","857,488","27,455"
DE,"171,660","200,152","3,378"
DC,"21,256","202,970","3,360"
FL,"3,964,522","3,583,544","61,744"
GA,"1,914,254","1,366,149","21,472"
HI,"194,191","231,708","3,114"
ID,"409,235","181,098","8,114"
IL,"2,345,946","2,891,550","36,826"
IN,"1,479,438","969,011","19,553"
IA,"751,957","741,898","13,053"
KS,"736,456","434,993","16,307"
KY,"1,069,439","712,733","13,710"
LA,"1,102,169","820,299","20,638"
ME,"330,201","396,842","13,709"
MD,"1,024,703","1,334,493","27,482"
MA,"1,071,109","1,803,800","37,479"
MI,"2,313,746","2,479,183","46,323"
MN,"1,346,695","1,445,014","36,678"
MS,"684,981","458,094","9,070"
MO,"1,455,713","1,259,171","16,480"
MT,"266,063","173,710","10,672"
NE,"512,814","254,328","11,044"
NV,"418,690","397,190","13,707"
NH,"331,237","340,511","5,990"
NJ,"1,670,003","1,911,430","30,258"
NM,"376,930","370,942","8,432"
NY,"2,962,567","4,314,280","114,189"
NC,"1,961,166","1,525,849","13,992"
ND,"196,651","111,052","5,130"
OH,"2,859,768","2,741,167","26,973"
OK,"959,792","503,966",0
OR,"866,831","943,163","26,788"
PA,"2,793,847","2,938,095","37,648"
RI,"169,046","259,765","8,323"
SC,"937,974","661,699","18,057"
SD,"232,584","149,244","6,387"
TN,"1,384,375","1,036,477","16,467"
TX,"4,526,917","2,832,704","51,144"
UT,"663,742","241,199","22,903"
VT,"121,180","184,067","7,062"
VA,"1,716,959","1,454,742","26,666"
WA,"1,304,894","1,510,201","43,989"
WV,"423,778","326,541","5,568"
WI,"1,478,120","1,489,504","29,383"
WY,"167,629","70,776","5,023"
Total:,"62,040,610","59,028,444","1,226,291"
,,,
