STATE,GENERAL ELECTION DEMOCRATIC,GENERAL ELECTION REPUBLICAN,GENERAL ELECTION OTHER
AL,"418,957","914,445","34,345"
AK,"77,606","175,384","1,345"
AS,"6,182","4,422",356
AZ,"711,837","900,510","85,798"
AR,"317,975","435,422","20,728"
CA,"5,148,511","4,195,588","303,774"
CO,"804,069","886,057","78,341"
CT,"634,947","457,976","45,279"
DE,"173,543","125,442","6,651"
DC,"117,990","8,109","6,557"
FL,"1,853,600","3,004,225","259,595"
GA,"940,347","1,528,142",191
GU,"35,919",,"1,502"
HI,"226,430","129,127","4,564"
ID,"150,884","263,699","32,561"
IL,"1,876,316","1,720,016","99,827"
IN,"740,342","1,087,586","103,501"
IA,"479,874","597,414","29,303"
KS,"274,992","528,136","32,401"
KY,"506,319","844,369","3,610"
LA,"311,221","675,386","49,340"
ME,"316,156","248,170",42
MD,"1,104,056","674,246","47,170"
MA,"1,335,738","808,305","80,212"
MI,"1,415,212","1,671,707","107,982"
MN,"1,002,026","970,741","117,824"
MS,"350,695","423,579","14,275"
MO,"708,064","1,103,290","109,321"
MT,"121,954","217,696","20,691"
NE,"137,524","327,986","20,036"
NV,"317,835","357,369","27,584"
NH,"200,563","230,265","19,697"
NJ,"1,024,730","1,055,299","41,555"
NM,"308,473","289,217",
NY,"2,452,531","1,647,843","585,376"
NC,"1,204,635","1,440,913","17,001"
ND,"106,542","129,802",793
MP,"1,707","2,049","7,596"
OH,"1,611,112","2,053,075","161,087"
OK,"221,966","519,562","51,451"
OR,"733,369","657,007","38,980"
PA,"1,882,202","2,034,145","40,054"
RI,"185,711","126,951","22,405"
SC,"537,323","753,932","48,934"
SD,"146,589","153,703","19,134"
TN,"541,527","955,078","62,524"
TX,"1,450,197","3,058,228","237,188"
UT,"218,236","390,969","31,290"
VT,"154,006","76,403","8,112"
VI,"19,844","2,329","5,493"
VA,"911,116","1,186,098","92,627"
WA,"1,296,502","1,135,166","47,741"
WV,"227,857","283,085","3,431"
WI,"938,690","1,165,761","36,031"
WY,"45,768","131,661","9,540"
Total:,"39,038,317","44,763,085","3,332,746"
