,Trump (R),Clinton (D),All Others
AL,"1,318,255","729,547","75,570"
AK,"163,387","116,454","38,767"
AZ,"1,252,401","1,161,167","159,597"
AR,"684,872","380,494","65,310"
CA,"4,483,814","8,753,792","943,998"
CO,"1,202,484","1,338,870","238,893"
CT,"673,215","897,572","74,133"
DE,"185,127","235,603","23,084"
DC,"12,723","282,830","15,715"
FL,"4,617,886","4,504,975","297,178"
GA,"2,089,104","1,877,963","147,665"
HI,"128,847","266,891","33,199"
ID,"409,055","189,765","91,435"
IL,"2,146,015","3,090,729","299,680"
IN,"1,557,286","1,033,126","144,546"
IA,"800,983","653,669","111,379"
KS,"671,018","427,005","86,379"
KY,"1,202,971","628,854","92,324"
LA,"1,178,638","780,154","70,240"
ME,"335,593","357,735","54,599"
MD,"943,169","1,677,928","160,349"
MA,"1,090,893","1,995,196","238,957"
MI,"2,279,543","2,268,839","250,902"
MN,"1,322,951","1,367,716","254,146"
MS,"700,714","485,131","23,512"
MO,"1,594,511","1,071,068","143,026"
MT,"279,240","177,709","40,198"
NE,"495,961","284,494","63,772"
NV,"512,058","539,260","74,067"
NH,"345,790","348,526","49,980"
NJ,"1,601,933","2,148,278","123,835"
NM,"319,667","385,234","93,418"
NY,"2,819,533","4,556,118","345,791"
NC,"2,362,631","2,189,316","189,617"
ND,"216,794","93,758","33,808"
OH,"2,841,005","2,394,164","261,318"
OK,"949,136","420,375","83,481"
OR,"782,403","1,002,106","216,827"
PA,"2,970,733","2,926,441","268,304"
RI,"180,543","252,525","31,076"
SC,"1,155,389","855,373","92,265"
SD,"227,721","117,458","24,914"
TN,"1,522,925","870,695","114,407"
TX,"4,685,047","3,877,868","406,311"
UT,"515,231","310,676","305,523"
VT,"95,369","178,573","41,125"
VA,"1,769,443","1,981,473","233,715"
WA,"1,221,747","1,742,718","352,554"
WV,"489,371","188,794","36,258"
WI,"1,405,284","1,382,536","188,330"
WY,"174,419","55,973","25,457"
Total:   ,"62,984,828","65,853,514","7,830,934"
,,,
