state,year,totals,pct
AL,2000,221911,-10.068650812948821
AL,2001,230187,3.72942305699131
AL,2002,221008,-3.98762745072484
AL,2003,225479,2.02300369217403
AL,2004,229997,2.0037342723712603
AL,2005,235873,2.5548159323817377
AL,2006,243176,3.0961576780725197
AL,2007,245355,0.8960588215942256
AL,2008,299432,22.040308940107202
AL,2009,317868,6.156990568810272
AL,2010,308607,-2.913473517309073
AL,2011,336102,8.909389612030827
AL,2012,431356,28.340801304365936
AL,2013,563880,30.722651359897625
AL,2014,621305,10.183904376817754
AL,2015,737509,18.703213397606653
AL,2016,616947,-16.34719033937213
AL,2017,477345,-22.62787565220351
AL,2018,474294,-0.6391603557175607
AL,2019,690084,45.49709673746663
AK,2000,39959,-7.229586980242841
AK,2001,39959,0.0
AK,2002,36793,-7.923121199229211
AK,2003,37059,0.7229636072078938
AK,2004,40504,9.295987479424706
AK,2005,44514,9.90025676476398
AK,2006,47037,5.667879768162831
AK,2007,49604,5.45740587197312
AK,2008,61729,24.44359325860819
AK,2009,60780,-1.5373649338236484
AK,2010,65909,8.438631128660745
AK,2011,70198,6.507457251665172
AK,2012,85342,21.573264195561137
AK,2013,93405,9.447868575847762
AK,2014,87623,-6.1902467747979255
AK,2015,85621,-2.2847882405304554
AK,2016,87647,2.3662419266301526
AK,2017,80839,-7.767521991625492
AK,2018,78761,-2.570541446579
AK,2019,76923,-2.333642284887194
AZ,2000,148263,-14.569456288750082
AZ,2001,147582,-0.4593189130126851
AZ,2002,142260,-3.6061308289628835
AZ,2003,145719,2.431463517503163
AZ,2004,155719,6.862523075233851
AZ,2005,176649,13.440877478021317
AZ,2006,204178,15.584011231311813
AZ,2007,192071,-5.9296300287004495
AZ,2008,208721,8.668669398295425
AZ,2009,215379,3.189904226215856
AZ,2010,206050,-4.331434355252828
AZ,2011,251477,22.046590633341424
AZ,2012,339663,35.067222847417455
AZ,2013,363036,6.881232280230698
AZ,2014,310672,-14.423913881818883
AZ,2015,331442,6.685507544934843
AZ,2016,416279,25.5963335968284
AZ,2017,384930,-7.530766625268148
AZ,2018,377838,-1.8424129062426964
AZ,2019,372912,-1.3037333460371947
AR,2000,169628,-8.118472938423537
AR,2001,166062,-2.1022472704977924
AR,2002,153424,-7.6104105695463105
AR,2003,150249,-2.0694285118364797
AR,2004,158366,5.402365406758114
AR,2005,164001,3.5582132528446664
AR,2006,170129,3.7365625819354653
AR,2007,169824,-0.17927572606668551
AR,2008,191799,12.939867156585638
AR,2009,209842,9.407244041939734
AR,2010,191448,-8.765642721666778
AR,2011,206228,7.720111988633982
AR,2012,246193,19.379036794227744
AR,2013,279736,13.624676574882312
AR,2014,234282,-16.248891812280153
AR,2015,257346,9.844546315978175
AR,2016,266014,3.368227988777761
AR,2017,237629,-10.670491026788065
AR,2018,248439,4.549108063409779
AR,2019,221344,-10.906097673875681
CA,2000,794506,-10.036641816057179
CA,2001,854569,7.559791870671839
CA,2002,684390,-19.914015135114894
CA,2003,524431,-23.372492292406378
CA,2004,548843,4.6549498408751555
CA,2005,611022,11.329105044612021
CA,2006,617820,1.1125622318018058
CA,2007,855943,38.542455731442814
CA,2008,780398,-8.825938175789737
CA,2009,788164,0.9951332525198753
CA,2010,816399,3.582376256718134
CA,2011,905701,10.93852393253789
CA,2012,1132603,25.052638784764515
CA,2013,1368295,20.809762997272664
CA,2014,1474616,7.770327305149838
CA,2015,1761079,19.426277756378617
CA,2016,2377167,34.98355269695455
CA,2017,1570110,-33.95037033578204
CA,2018,1297132,-17.38591563648407
CA,2019,1240632,-4.355763330177654
CO,2000,307512,19.511247221229034
CO,2001,348696,13.392648091781778
CO,2002,183754,-47.30252139399362
CO,2003,181257,-1.3588819835214427
CO,2004,194191,7.135724413401956
CO,2005,206287,6.228918950929763
CO,2006,214749,4.102051995520806
CO,2007,221737,3.254031450670314
