State,Democratic,Republican,Others,Year,Election,PercentD,Change
AL,718367,1120903,15998,2008,House,38.720389722670795,-5.3128619841191735
AK,142560,158939,15479,2008,House,44.97473010745225,4.965780417495083
AZ,1055305,1021798,78591,2008,House,48.95430427509656,6.945196014037727
AR,415481,215196,156516,2008,House,52.78006791218925,-7.057732591342152
CA,7377725,4515372,428982,2008,House,59.87402775132345,2.9758998275604327
CO,1259768,990870,33293,2008,House,55.157883491226315,1.035869699628634
CT,908761,504785,113853,2008,House,59.49728918245986,-0.3180706397853612
DE,146434,235437,3586,2008,House,37.989710914576726,-0.7736286962205128
DC,228376,0,19095,2008,House,92.28394438136186,-5.057857547596029
FL,3434831,3792167,194174,2008,House,46.28421225111074,4.7475535994488
GA,1858090,1796549,309,2008,House,50.83765897626997,5.813273703940794
HI,319956,82540,15335,2008,House,76.57545754144618,11.532136754570246
ID,259776,377464,612,2008,House,40.72668894978773,0.8943040279586967
IL,3176203,1961173,110819,2008,House,60.51991208405938,2.9842431740067568
IN,1388963,1240577,47310,2008,House,51.88796533238694,3.145672651625631
IA,759460,698241,25464,2008,House,51.20536150731713,3.5181483443511254
KS,470031,690005,48266,2008,House,38.900125961887014,-4.784551015656007
KY,761209,955182,33449,2008,House,43.501634435148354,-4.500800296959312
LA,398474,594306,53396,2008,House,38.08861988804943,0.9848467530031684
ME,431903,278198,0,2008,House,60.82275619947022,-4.61928610596118
MD,1677238,762539,58175,2008,House,67.14452479471183,2.517220100736637
MA,2245778,318461,40875,2008,House,86.20651533867616,1.3521468103990202
MI,2516640,2114293,179757,2008,House,52.313493490538775,-0.4063624941913915
MN,1612480,1069015,121119,2008,House,57.53485852850232,4.637439835117263
MS,731805,527330,5612,2008,House,57.861769982454994,14.523780946385223
MO,1413016,1313018,95450,2008,House,50.08059588500237,2.769882508610948
MT,155930,308470,16500,2008,House,32.424620503223125,-6.704336934469858
NE,264885,510513,0,2008,House,34.161166265582324,-9.777050806757792
NV,457320,383548,67386,2008,House,50.351553640281246,0.27057275385802626
NH,364767,294560,15648,2008,House,54.041557094707215,2.030103518693174
NJ,1911827,1461820,64333,2008,House,55.60902041314958,-0.9128937012304235
NM,457135,321083,36348,2008,House,56.12006884647776,0.31309520260268897
NY,3858024,1800093,732399,2008,House,60.37108740514851,1.1512530877052214
NC,2293971,1901517,19605,2008,House,54.422784977698,1.5110595519990184
ND,194577,119388,0,2008,House,61.974105393913334,-3.706136862118939
OH,2752111,2491498,130731,2008,House,51.208353025673844,-1.344904261584169
OK,503614,802530,30783,2008,House,37.66952122292391,-3.524742106262977
OR,1036171,435920,210418,2008,House,61.58487116562229,5.16570087815343
PA,3209168,2520805,61311,2008,House,55.41375625854301,-0.12762174926485415
RI,303670,118773,15789,2008,House,69.29434637361032,-1.6860436826859058
SC,919529,939703,14658,2008,House,49.07059645977085,6.574053446751222
SD,256041,122966,0,2008,House,67.55574435300667,-1.5372578474837866
TN,1195542,977677,128666,2008,House,51.937520771020274,1.754009503265209
TX,2979398,4203917,345307,2008,House,39.5742806585322,-4.914933194830034
UT,393761,503917,39161,2008,House,42.03080785492491,-0.8842863190995587
VT,248203,0,49948,2008,House,83.24741490050343,30.03037509477427
VA,1852788,1590687,51880,2008,House,53.007148057922585,11.779211528980845
WA,1725316,1189147,0,2008,House,59.198418370725584,-1.3693071440607696
WV,432075,213339,146,2008,House,66.93026209802342,8.923564840029478
WI,1383536,1274987,116651,2008,House,49.85402717090892,1.2376813399967403
WY,106758,131244,11393,2008,House,42.80679243769923,-4.938192539210206
Total,65028953,51958927,5971961,2008,House,52.886334652953884,0.3657309087810603
