State,Republican,Democratic,Others,Year,Election,PercentD,Change
AL,941173,692611,32488,2000,Pres,41.56650294789806,
AK,167398,79004,39158,2000,Pres,27.666339823504693,
AZ,781652,685341,65023,2000,Pres,44.73458501738885,
AR,472940,422768,26073,2000,Pres,45.86425626043496,
CA,4567429,5861203,537224,2000,Pres,53.44957110507379,
CO,883748,738227,119393,2000,Pres,42.39350901130605,
CT,561094,816015,82416,2000,Pres,55.909628132440346,
DE,137288,180068,10266,2000,Pres,54.96212098088651,
DC,18073,171923,11898,2000,Pres,85.15508137933767,
FL,2912790,2912253,138067,2000,Pres,48.837821204036146,
GA,1419720,1116230,60854,2000,Pres,42.98476126808185,
HI,137845,205286,24820,2000,Pres,55.791667912303545,
ID,336937,138637,26047,2000,Pres,27.637798258047408,
IL,2019421,2589026,133676,2000,Pres,54.596348513102676,
IN,1245836,901980,51486,2000,Pres,41.012102930838964,
IA,634373,638517,42673,2000,Pres,48.53564595538184,
KS,622332,399276,50610,2000,Pres,37.23832280375819,
KY,872492,638898,32797,2000,Pres,41.37439312725726,
LA,927871,792344,45441,2000,Pres,44.87533245433992,
ME,286616,319951,45250,2000,Pres,49.08601647394898,
MD,813797,1145782,65901,2000,Pres,56.56841835021822,
MA,878502,1616487,207995,2000,Pres,59.803794621055836,
MI,1953139,2170418,108944,2000,Pres,51.27979887069135,
MN,1109659,1168266,160760,2000,Pres,47.9055720603522,
MS,572844,404614,16726,2000,Pres,40.69810015047516,
MO,1189924,1111138,58830,2000,Pres,47.08427334810237,
MT,240178,137126,33693,2000,Pres,33.364233802193205,
NE,433862,231780,31377,2000,Pres,33.25303901328371,
NV,301575,279978,27417,2000,Pres,45.975663825804226,
NH,273559,266348,29174,2000,Pres,46.80317916078731,
NJ,1284173,1788850,114203,2000,Pres,56.12560891508792,
NM,286417,286783,25405,2000,Pres,47.908554054844174,
NY,2403374,4107697,310928,2000,Pres,60.2125124908403,
NC,1631163,1257692,22407,2000,Pres,43.20092111256218,
ND,174852,95284,18120,2000,Pres,33.05533969804618,
OH,2351209,2186190,168058,2000,Pres,46.460736969862864,
OK,744337,474276,15616,2000,Pres,38.426904569573395,
OR,713577,720342,100049,2000,Pres,46.95938898334255,
PA,2281127,2485967,146025,2000,Pres,50.59855053378516,
RI,130555,249508,29049,2000,Pres,60.9877001896791,
SC,785937,565561,31219,2000,Pres,40.90215134405666,
SD,190700,118804,6765,2000,Pres,37.56422539041132,
TN,1061949,981720,32512,2000,Pres,47.28489471775341,
TX,3799639,2433746,174252,2000,Pres,37.981958091571045,
UT,515096,203053,52605,2000,Pres,26.344722181136916,
VT,119775,149022,25511,2000,Pres,50.63470921619528,
VA,1437490,1217290,84667,2000,Pres,44.43561054475593,
WA,1108864,1247652,130917,2000,Pres,50.158215316754266,
WV,336475,295497,16152,2000,Pres,45.59266436669526,
WI,1237279,1242987,118341,2000,Pres,47.832819660687434,
WY,147947,60481,9923,2000,Pres,27.698980082527676,
Total,50456002,50999897,3949201,2000,Pres,48.38465785811123,
AL,1176394,693933,13122,2004,Pres,36.84373720764406,-4.7227657402539975
AK,190889,111025,10684,2004,Pres,35.51686191210436,7.850522088599668
AZ,1104294,893524,14767,2004,Pres,44.396832928795554,-0.3377520885932981
AR,572898,469953,12094,2004,Pres,44.547630445189085,-1.316625815245878
CA,5509826,6745485,166541,2004,Pres,54.30337601832641,0.853804913252624
CO,1101255,1001732,27343,2004,Pres,47.022386203076515,4.628877191770464
CT,693826,857488,27455,2004,Pres,54.3137089719902,-1.5959191604501441
DE,171660,200152,3378,2004,Pres,53.34683760228152,-1.6152833786049925
DC,21256,202970,3360,2004,Pres,89.18386895503238,4.028787575694707
FL,3964522,3583544,61744,2004,Pres,47.09111002771423,-1.7467111763219165
GA,1914254,1366149,21472,2004,Pres,41.374946053378764,-1.609815214703083
HI,194191,231708,3114,2004,Pres,54.00955215809311,-1.7821157542104373
ID,409235,181098,8114,2004,Pres,30.26132639983156,2.6235281417841527
IL,2345946,2891550,36826,2004,Pres,54.82316020902781,0.22681169592513584
IN,1479438,969011,19553,2004,Pres,39.26297466533658,-1.7491282655023852
IA,751957,741898,13053,2004,Pres,49.23313168421695,0.6974857288351117
KS,736456,434993,16307,2004,Pres,36.62309430556444,-0.6152284981937441
KY,1069439,712733,13710,2004,Pres,39.68707298140969,-1.6873201458475648
LA,1102169,820299,20638,2004,Pres,42.21586470321228,-2.659467751127636
ME,330201,396842,13709,2004,Pres,53.57285569259347,4.486839218644491
MD,1024703,1334493,27482,2004,Pres,55.91424565860999,-0.654172691608224
MA,1071109,1803800,37479,2004,Pres,61.93542893323279,2.1316343121769563
MI,2313746,2479183,46323,2004,Pres,51.23070672905647,-0.04909214163487974
MN,1346695,1445014,36678,2004,Pres,51.08968468600654,3.1841126256543433
MS,684981,458094,9070,2004,Pres,39.760099640236255,-0.9380005102389077
MO,1455713,1259171,16480,2004,Pres,46.10044651683188,-0.9838268312704912
MT,266063,173710,10672,2004,Pres,38.56408662544817,5.199852823254965
NE,512814,254328,11044,2004,Pres,32.682160820163816,-0.5708781931198956
NV,418690,397190,13707,2004,Pres,47.87804051895702,1.902376693152796
NH,331237,340511,5990,2004,Pres,50.24227651393311,3.4390973531458044
