,State,Democratic,Republican,Others,Year,Election,PercentD
0,AZ,0.0,1108196.0,288880.0,2000,Senate,0.0
1,CA,5932522.0,3886853.0,804239.0,2000,Senate,55.842785703622134
2,CT,828902.0,448077.0,34282.0,2000,Senate,63.214112217171106
3,DE,181566.0,142891.0,2560.0,2000,Senate,55.52188418339108
4,FL,2989487.0,2705348.0,161896.0,2000,Senate,51.04361118856235
5,HI,251215.0,84701.0,9707.0,2000,Senate,72.68468822966064
6,IN,683273.0,1427944.0,33992.0,2000,Senate,31.851115672179258
7,ME,197183.0,437689.0,0.0,2000,Senate,31.058701596542292
8,MD,1230013.0,715178.0,1707.0,2000,Senate,63.17809150761878
9,MA,1889494.0,334341.0,375585.0,2000,Senate,72.68906140600595
10,MI,2061952.0,1994693.0,111040.0,2000,Senate,49.474756369543286
11,MN,1181553.0,1047474.0,190493.0,2000,Senate,48.83419025261209
12,MS,314090.0,654941.0,25113.0,2000,Senate,31.594014549200118
13,MO,1191812.0,1142852.0,26922.0,2000,Senate,50.46659321320502
14,MT,194430.0,208082.0,9089.0,2000,Senate,47.23749456391019
15,NE,353093.0,337977.0,1280.0,2000,Senate,50.999205604101974
16,NV,238260.0,330687.0,31303.0,2000,Senate,39.69346105789254
17,NJ,1511237.0,1420267.0,84158.0,2000,Senate,50.112943691965484
18,NM,363744.0,225517.0,265.0,2000,Senate,61.70109545634968
19,NY,3562415.0,2724589.0,492835.0,2000,Senate,52.54424183229129
20,ND,176470.0,111069.0,0.0,2000,Senate,61.37254424617182
21,OH,1597122.0,2666736.0,188278.0,2000,Senate,35.873162904277855
22,PA,2154908.0,2481962.0,98634.0,2000,Senate,45.50535697995398
23,RI,161023.0,222588.0,7926.0,2000,Senate,41.125870607375546
24,TN,621152.0,1255444.0,52017.0,2000,Senate,32.20718723766769
25,TX,2030315.0,4082091.0,164246.0,2000,Senate,32.34710160767237
26,UT,242569.0,504803.0,22332.0,2000,Senate,31.51458222901271
27,VT,73352.0,189133.0,26015.0,2000,Senate,25.42530329289428
28,VA,1296093.0,1420460.0,1748.0,2000,Senate,47.68026057452799
